,Date,Open,High,Low,Close,Adj Close,Volume
0,2024-10-31,5775.34,5775.34,5702.86,5705.45,5705.45,4425660000
1,2024-10-30,5832.65,5850.94,5811.28,5813.67,5813.67,3851120000
2,2024-10-29,5819.68,5847.19,5802.17,5832.92,5832.92,3879100000
3,2024-10-28,5833.93,5842.92,5823.08,5823.52,5823.52,3691280000
4,2024-10-25,5826.75,5862.82,5799.98,5808.12,5808.12,3501280000
5,2024-10-24,5817.8,5817.8,5784.92,5809.86,5809.86,3543030000
6,2024-10-23,5834.5,5834.85,5762.41,5797.42,5797.42,3532650000
7,2024-10-22,5832.7,5863.04,5821.17,5851.2,5851.2,3342080000
8,2024-10-21,5857.82,5866.92,5824.79,5853.98,5853.98,3407010000
9,2024-10-18,5859.43,5872.17,5846.11,5864.67,5864.67,3374490000
10,2024-10-17,5875.62,5878.46,5840.25,5841.47,5841.47,3480010000
11,2024-10-16,5816.58,5846.52,5808.34,5842.47,5842.47,3467230000
12,2024-10-15,5866.74,5870.36,5804.48,5815.26,5815.26,3882120000
13,2024-10-14,5829.81,5871.41,5829.57,5859.85,5859.85,3005250000
14,2024-10-11,5775.09,5822.13,5775.09,5815.03,5815.03,3208720000
15,2024-10-10,5778.36,5795.03,5764.76,5780.05,5780.05,3208790000
16,2024-10-09,5751.8,5796.8,5745.02,5792.04,5792.04,3650340000
17,2024-10-08,5719.14,5757.6,5714.56,5751.13,5751.13,3393400000
18,2024-10-07,5737.8,5739.34,5686.85,5695.94,5695.94,3637790000
19,2024-10-04,5737.48,5753.21,5702.83,5751.07,5751.07,3479400000
20,2024-10-03,5698.19,5718.78,5677.37,5699.94,5699.94,3597450000
21,2024-10-02,5698.14,5719.63,5674.0,5709.54,5709.54,3829050000
22,2024-10-01,5757.73,5757.73,5681.28,5708.75,5708.75,4025180000
23,2024-09-30,5726.52,5765.14,5703.53,5762.48,5762.48,4425730000
24,2024-09-27,5755.36,5763.78,5727.34,5738.17,5738.17,3898530000
25,2024-09-26,5762.22,5767.37,5721.01,5745.37,5745.37,4391180000
26,2024-09-25,5733.65,5741.03,5712.06,5722.26,5722.26,3624910000
27,2024-09-24,5727.66,5735.32,5698.99,5732.93,5732.93,3872710000
28,2024-09-23,5711.9,5725.36,5704.22,5718.57,5718.57,3529550000
29,2024-09-20,5709.64,5715.14,5674.49,5702.55,5702.55,7867260000
30,2024-09-19,5702.63,5733.57,5686.42,5713.64,5713.64,4024530000
31,2024-09-18,5641.68,5689.75,5615.08,5618.26,5618.26,3691390000
32,2024-09-17,5655.51,5670.81,5614.05,5634.58,5634.58,3443600000
33,2024-09-16,5615.21,5636.05,5604.53,5633.09,5633.09,3437070000
34,2024-09-13,5603.34,5636.27,5601.65,5626.02,5626.02,3500790000
35,2024-09-12,5557.48,5600.71,5535.5,5595.76,5595.76,3655070000
36,2024-09-11,5496.42,5560.41,5406.96,5554.13,5554.13,3839450000
37,2024-09-10,5490.51,5497.91,5441.72,5495.52,5495.52,3848180000
38,2024-09-09,5442.07,5484.2,5434.49,5471.05,5471.05,3825940000
39,2024-09-06,5507.33,5522.47,5402.62,5408.42,5408.42,3822800000
40,2024-09-05,5520.08,5546.3,5480.54,5503.41,5503.41,3521650000
41,2024-09-04,5506.68,5552.99,5503.66,5520.07,5520.07,3478140000
42,2024-09-03,5623.89,5623.89,5504.33,5528.93,5528.93,3866350000
43,2024-08-30,5612.74,5651.37,5581.79,5648.4,5648.4,4185850000
44,2024-08-29,5607.3,5646.95,5583.71,5591.96,5591.96,3065640000
45,2024-08-28,5624.51,5627.03,5560.95,5592.18,5592.18,3053450000
46,2024-08-27,5602.89,5631.18,5593.48,5625.8,5625.8,2798990000
47,2024-08-26,5639.66,5651.62,5602.34,5616.84,5616.84,2938570000
48,2024-08-23,5602.49,5641.82,5585.16,5634.61,5634.61,3291940000
49,2024-08-22,5637.77,5643.22,5560.95,5570.64,5570.64,2981530000
50,2024-08-21,5603.09,5632.68,5591.57,5620.85,5620.85,3119670000
51,2024-08-20,5602.88,5620.51,5585.5,5597.12,5597.12,2994420000
52,2024-08-19,5557.23,5608.3,5550.74,5608.25,5608.25,3222050000
53,2024-08-16,5530.5,5561.98,5525.17,5554.25,5554.25,3357690000
54,2024-08-15,5501.13,5546.23,5501.13,5543.22,5543.22,3723310000
55,2024-08-14,5442.36,5463.22,5415.91,5455.21,5455.21,3380050000
56,2024-08-13,5376.98,5436.5,5376.98,5434.43,5434.43,3648980000
57,2024-08-12,5351.88,5371.2,5324.37,5344.39,5344.39,3360160000
58,2024-08-09,5314.66,5358.67,5300.84,5344.16,5344.16,3516400000
59,2024-08-08,5252.57,5328.03,5233.85,5319.31,5319.31,4016830000
60,2024-08-07,5293.13,5330.64,5195.54,5199.5,5199.5,4558260000
61,2024-08-06,5206.42,5312.34,5193.56,5240.03,5240.03,4690190000
62,2024-08-05,5151.14,5250.89,5119.26,5186.33,5186.33,5333250000
63,2024-08-02,5376.63,5383.89,5302.03,5346.56,5346.56,5156450000
64,2024-08-01,5537.84,5566.16,5410.42,5446.68,5446.68,4703620000
65,2024-07-31,5505.59,5551.51,5493.75,5522.3,5522.3,4546910000
66,2024-07-30,5478.73,5489.46,5401.7,5436.44,5436.44,3777740000
67,2024-07-29,5476.55,5487.74,5444.44,5463.54,5463.54,3379970000
68,2024-07-26,5433.67,5488.32,5430.7,5459.1,5459.1,3638770000
69,2024-07-25,5428.7,5491.59,5390.95,5399.22,5399.22,4592120000
70,2024-07-24,5505.84,5508.04,5419.98,5427.13,5427.13,3945550000
71,2024-07-23,5565.3,5585.34,5550.9,5555.74,5555.74,3500210000
72,2024-07-22,5544.54,5570.36,5529.04,5564.41,5564.41,3375180000
73,2024-07-19,5543.37,5557.5,5497.04,5505.0,5505.0,3760570000
74,2024-07-18,5608.56,5614.05,5522.81,5544.59,5544.59,4007510000
75,2024-07-17,5610.07,5622.49,5584.81,5588.27,5588.27,4246450000
76,2024-07-16,5644.09,5669.67,5639.02,5667.2,5667.2,4041760000
77,2024-07-15,5638.16,5666.94,5614.75,5631.22,5631.22,3620470000
78,2024-07-12,5590.76,5655.56,5590.44,5615.35,5615.35,3700280000
79,2024-07-11,5635.21,5642.45,5576.53,5584.54,5584.54,4020950000
80,2024-07-10,5591.26,5635.39,5586.44,5633.91,5633.91,3336100000
81,2024-07-09,5584.24,5590.75,5574.57,5576.98,5576.98,3232920000
82,2024-07-08,5572.75,5583.11,5562.51,5572.85,5572.85,3185670000
83,2024-07-05,5537.91,5570.33,5531.63,5567.19,5567.19,3253080000
84,2024-07-03,5507.44,5539.27,5507.42,5537.02,5537.02,2179470000
85,2024-07-02,5461.84,5509.69,5458.43,5509.01,5509.01,3329950000
86,2024-07-01,5471.08,5479.55,5446.53,5475.09,5475.09,3488760000
87,2024-06-28,5488.48,5523.64,5451.12,5460.48,5460.48,7199220000
88,2024-06-27,5473.59,5490.81,5467.54,5482.87,5482.87,3589530000
89,2024-06-26,5460.71,5483.14,5451.87,5477.9,5477.9,3563920000
90,2024-06-25,5460.73,5472.88,5446.56,5469.3,5469.3,3591960000
91,2024-06-24,5459.58,5490.66,5447.59,5447.87,5447.87,3696750000
92,2024-06-21,5466.77,5478.31,5452.03,5464.62,5464.62,6773800000
93,2024-06-20,5499.99,5505.53,5455.56,5473.17,5473.17,3847060000
94,2024-06-18,5476.15,5490.38,5471.32,5487.03,5487.03,3544330000
95,2024-06-17,5431.11,5488.5,5420.4,5473.23,5473.23,3447840000
96,2024-06-14,5424.08,5432.39,5403.75,5431.6,5431.6,3438650000
97,2024-06-13,5441.93,5441.93,5402.51,5433.74,5433.74,3530380000
98,2024-06-12,5409.13,5447.25,5409.13,5421.03,5421.03,3962840000
99,2024-06-11,5353.0,5375.95,5327.25,5375.32,5375.32,3568030000
100,2024-06-10,5341.22,5365.79,5331.52,5360.79,5360.79,3622280000
101,2024-06-07,5343.81,5375.08,5331.33,5346.99,5346.99,3692760000
102,2024-06-06,5357.8,5362.35,5335.36,5352.96,5352.96,3609990000
103,2024-06-05,5314.48,5354.16,5297.64,5354.03,5354.03,3591460000
104,2024-06-04,5278.24,5298.8,5257.63,5291.34,5291.34,3707900000
105,2024-06-03,5297.15,5302.11,5234.32,5283.4,5283.4,4046920000
